surface_id,surface_family,path,phase5_role,phase5_status,record_or_file_count,phase11_replacement_role,notes
matrix_curves,matrix_tracks,models/tfl6_patchworks_model/tracks/curves.csv,release_payload,accepted_p4_3,991672 rows,replace_after_mp11_matrix_builder,"Curve track output."
matrix_blocks,matrix_tracks,models/tfl6_patchworks_model/tracks/blocks.csv,release_payload,accepted_p4_3,47218 rows,replace_after_mp11_matrix_builder,"Block track output."
runtime_blocks,runtime_blocks,models/tfl6_patchworks_model/blocks/blocks.*,release_payload,accepted_p4_4a,24879 block rows,replace_after_mp11_fragments,"Block SHP SHA256 matches fragments SHP; topology radius 200."
runtime_topology,runtime_blocks,models/tfl6_patchworks_model/blocks/topology_blocks_200r.csv,release_payload,accepted_p4_4a,170759 rows,replace_after_mp11_blocks,"Topology columns BLOCK1/BLOCK2/DISTANCE/LENGTH."
base_pin,runtime_launch,models/tfl6_patchworks_model/analysis/base.pin,release_payload,accepted_p4_4b,136 bytes,preserve_or_update_for_mp11_runtime,"Baseline launch surface."
lineage_registry,runtime_lineage,models/tfl6_patchworks_model/lineage_registry.yaml,release_payload,accepted_p4_4,7526 bytes,replace_or_extend_for_mp11_runtime,"Primary Phase 5 provenance registry."
direct_launch_smoke,runtime_smoke,runtime/logs/patchworks_headless_manifest-tfl6_p44b_launch0.json,runtime_evidence,accepted_p4_4c,returncode 0,repeat_after_mp11_runtime,"Direct launch smoke wrote 903 saved-stage files."
scenario_smoke,runtime_smoke,runtime/logs/patchworks_headless_manifest-tfl6_p44d_harvest_smoke200.json,runtime_evidence,accepted_p4_4d,returncode 0,repeat_after_mp11_runtime,"Representative smoke scheduled 801 managed CC rows and produced nonzero managed CC harvested volume."
runtime_archive,release_archive,releases/tfl6_patchworks_runtime_p5_2.zip,public_release_payload,accepted_p5_4,28000736 bytes,preserve_as_phase5_baseline,"SHA256 17f56d11faeba89170fc48e202d1bfe83c2dd40b53e7409d8cdb8c1c487c2f9f."
runtime_archive_manifest,release_archive,releases/tfl6_patchworks_runtime_p5_2_manifest.yaml,public_release_manifest,accepted_p5_4,31 ZIP members,preserve_as_phase5_baseline,"Published via arbutus-s3; data/model_input_bundle excluded from archive."
